일자,시가,고가,저가,종가
2006-09-29,62.54,62.54,62.48,62.48
2006-10-02,62.48,62.48,60.45,60.45
2006-10-03,60.45,60.45,58.43,58.43
2006-10-04,58.43,59.22,58.43,59.22
2006-10-05,59.22,60.00,59.22,60.00
2006-10-06,60.00,60.00,59.83,59.83
2006-10-09,59.83,60.54,59.83,60.54
2006-10-10,60.54,60.54,59.34,59.34
2006-10-11,59.34,59.34,58.65,58.65
2006-10-12,58.65,58.76,58.65,58.76
2006-10-13,58.76,59.52,58.76,59.52
2006-10-16,59.52,61.66,59.52,61.66
2006-10-17,61.66,61.66,60.94,60.94
2006-10-18,61.20,61.56,59.32,59.58
2006-10-19,59.78,61.25,59.31,60.87
2006-10-20,61.30,61.55,59.55,59.68
2006-10-23,59.72,59.75,58.52,59.21
2006-10-24,59.07,60.09,58.77,59.86
2006-10-25,59.95,62.19,59.75,62.05
2006-10-26,62.25,62.35,60.47,60.77
2006-10-27,60.95,61.33,60.13,61.08
2006-10-30,61.20,61.20,58.53,58.68
2006-10-31,58.77,59.14,57.39,59.03
2006-11-01,58.85,59.67,58.01,58.98
2006-11-02,58.77,59.08,57.75,57.87
2006-11-03,57.87,59.25,57.78,59.15
2006-11-06,58.94,60.40,58.49,59.75
2006-11-07,59.75,60.05,58.44,58.48
2006-11-08,58.90,59.90,58.46,61.05
2006-11-09,61.32,62.89,61.24,62.79
2006-11-10,62.82,62.82,61.08,61.18
2006-11-13,61.25,61.65,59.99,60.44
2006-11-14,60.62,61.11,60.04,60.09
2006-11-15,60.25,61.23,60.09,60.61
2006-11-16,60.61,61.37,58.31,58.54
2006-11-17,58.49,59.11,57.85,58.99
2006-11-20,58.38,59.18,58.24,58.98
2006-11-21,59.15,60.58,59.00,60.39
2006-11-22,60.39,60.55,58.66,59.49
2006-11-23,59.49,59.72,58.85,59.35
2006-11-24,59.39,60.40,58.90,60.03
2006-11-27,59.80,60.60,59.47,60.44
2006-11-28,60.62,61.42,60.40,61.21
2006-11-29,61.30,63.16,61.20,63.07
2006-11-30,62.98,64.77,62.80,64.26
2006-12-01,63.85,64.92,63.35,64.62
2006-12-04,64.65,64.75,63.13,63.45
2006-12-05,63.65,64.20,62.61,63.32
2006-12-06,63.50,63.99,62.89,63.07
2006-12-07,63.29,63.52,62.33,62.57
2006-12-08,62.81,63.97,62.13,62.20
2006-12-11,62.50,62.94,61.99,62.10
2006-12-12,62.08,62.66,61.25,61.69
2006-12-13,61.45,62.17,61.28,61.73
2006-12-14,61.80,63.35,61.77,62.89
2006-12-15,63.00,63.61,62.71,63.49
2006-12-18,63.34,63.57,61.94,62.13
2006-12-19,62.20,63.27,61.47,62.81
2006-12-20,62.80,63.59,62.55,63.23
2006-12-21,63.00,63.13,61.95,62.46
2006-12-22,62.36,63.03,62.06,62.42
2006-12-26,62.54,63.30,60.65,61.10
2006-12-27,61.15,61.59,60.39,60.52
2006-12-28,60.56,60.96,60.21,60.67
2006-12-29,60.52,61.14,60.04,60.86
2007-01-02,60.88,61.64,60.15,61.60
2007-01-03,61.83,61.83,58.52,59.04
2007-01-04,58.93,59.47,55.75,56.24
2007-01-05,54.97,55.76,54.50,55.64
2007-01-08,55.86,57.19,54.40,55.60
2007-01-09,55.60,55.63,53.64,55.18
2007-01-10,55.20,55.31,53.09,53.69
2007-01-11,53.90,55.15,52.43,52.47
2007-01-12,52.93,53.73,52.22,53.44
2007-01-15,53.74,54.17,52.94,53.45
2007-01-16,53.35,53.88,51.20,51.62
2007-01-17,51.70,53.03,50.75,52.78
2007-01-18,53.10,53.35,50.91,51.75
2007-01-19,51.50,53.55,51.50,53.44
2007-01-22,53.69,54.60,52.18,52.70
2007-01-23,52.81,55.18,52.59,55.10
2007-01-24,54.92,55.61,53.88,55.43
2007-01-25,55.55,55.88,54.05,54.12
2007-01-26,54.32,55.37,54.16,55.29
2007-01-29,55.58,55.83,53.56,53.68
2007-01-30,53.79,56.48,53.67,56.39
2007-01-31,56.25,57.55,55.16,57.40
2007-02-01,57.20,58.37,56.63,56.72
2007-02-02,56.66,58.67,56.65,58.41
2007-02-05,58.56,59.39,57.85,58.10
2007-02-06,58.35,59.42,58.06,58.42
2007-02-07,58.70,59.46,56.74,57.23
2007-02-08,57.26,59.21,56.81,59.78
2007-02-09,59.90,60.47,59.27,59.77
2007-02-12,58.82,59.49,57.06,57.38
2007-02-13,57.02,59.31,56.82,58.78
