일자,현재가
2006/09/25,"7,360.00"
2006/09/26,"7,560.00"
2006/09/27,"7,685.00"
2006/09/28,"7,670.00"
2006/09/29,"7,580.00"
2006/10/02,"7,636.00"
2006/10/03,"7,371.00"
2006/10/04,"7,370.00"
2006/10/05,"7,225.50"
2006/10/06,"7,380.00"
2006/10/09,"7,490.00"
2006/10/10,"7,393.00"
2006/10/11,"7,411.00"
2006/10/12,"7,425.00"
2006/10/13,"7,520.00"
2006/10/16,"7,530.50"
2006/10/17,"7,740.00"
2006/10/18,"7,625.00"
2006/10/19,"7,611.00"
2006/10/20,"7,665.00"
2006/10/23,"7,582.00"
2006/10/24,"7,446.00"
2006/10/25,"7,455.00"
2006/10/26,"7,470.00"
2006/10/27,"7,520.00"
2006/10/30,"7,360.50"
2006/10/31,"7,435.00"
2006/11/01,"7,316.50"
2006/11/02,"7,241.00"
2006/11/03,"7,296.00"
2006/11/06,"7,285.00"
2006/11/07,"7,411.00"
2006/11/08,"7,290.00"
2006/11/09,"7,231.00"
2006/11/10,"7,120.00"
2006/11/13,"6,770.00"
2006/11/14,"6,985.00"
2006/11/15,"6,850.00"
2006/11/16,"6,910.00"
2006/11/17,"6,690.50"
2006/11/20,"6,920.00"
2006/11/21,"6,880.00"
2006/11/22,"7,001.00"
2006/11/23,"6,945.00"
2006/11/24,"7,040.50"
2006/11/27,"7,080.00"
2006/11/28,"7,031.00"
2006/11/29,"6,956.00"
2006/11/30,"6,980.00"
2006/12/01,"6,976.00"
2006/12/04,"7,000.00"
2006/12/05,"7,071.00"
2006/12/06,"7,020.00"
2006/12/07,"6,866.00"
2006/12/08,"6,846.00"
2006/12/11,"6,865.00"
2006/12/12,"6,841.00"
2006/12/13,"6,760.00"
2006/12/14,"6,796.00"
2006/12/15,"6,725.00"
2006/12/18,"6,660.00"
2006/12/19,"6,640.50"
2006/12/20,"6,470.00"
2006/12/21,"6,451.00"
2006/12/22,"6,385.00"
2006/12/27,"6,422.50"
2006/12/28,"6,380.50"
2007/01/02,"6,201.00"
2007/01/03,"5,841.00"
2007/01/04,"5,652.00"
2007/01/05,"5,752.00"
2007/01/08,"5,535.00"
2007/01/09,"5,570.00"
2007/01/10,"5,730.50"
2007/01/11,"5,820.00"
2007/01/12,"5,830.00"
2007/01/15,"5,660.00"
2007/01/16,"5,711.00"
2007/01/17,"5,630.00"
2007/01/18,"5,670.00"
2007/01/19,"5,520.00"
2007/01/22,"5,541.00"
2007/01/23,"5,610.00"
2007/01/24,"5,726.00"
2007/01/25,"5,860.00"
2007/01/26,"5,751.00"
2007/01/29,"5,630.00"
2007/01/30,"5,640.00"
2007/01/31,"5,690.50"
2007/02/01,"5,657.00"
2007/02/02,"5,510.00"
2007/02/05,"5,371.00"
2007/02/06,"5,380.00"
2007/02/07,"5,381.00"
2007/02/08,"5,270.50"
2007/02/09,"5,450.00"
2007/02/12,"5,530.00"
2007/02/13,"5,600.00"
2007/02/14,"5,700.50"
2007/02/15,"5,830.00"
2007/02/16,"5,820.00"
2007/02/19,"5,810.00"
2007/02/20,"5,730.50"
2007/02/21,"5,661.50"
2007/02/22,"5,921.00"
2007/02/23,"6,231.50"
2007/02/26,"6,300.00"
2007/02/27,"6,195.00"
2007/02/28,"6,070.00"
2007/03/01,"6,160.50"
2007/03/02,"6,095.00"
2007/03/05,"5,860.00"
2007/03/06,"6,010.50"
2007/03/07,"6,061.00"
2007/03/08,"6,261.00"
2007/03/09,"6,150.00"
2007/03/12,"6,175.00"
2007/03/13,"6,291.00"
2007/03/14,"6,195.00"
2007/03/15,"6,390.00"
2007/03/16,"6,490.00"
2007/03/19,"6,555.00"
2007/03/20,"6,650.00"
2007/03/21,"6,625.00"
2007/03/22,"6,750.50"
2007/03/23,"6,790.50"
2007/03/26,"6,790.00"
2007/03/27,"6,830.00"
2007/03/28,"6,710.00"
2007/03/29,"6,700.00"
2007/03/30,"6,860.50"
2007/04/02,"6,860.00"
2007/04/03,"7,171.00"
2007/04/04,"7,247.00"
2007/04/05,"7,411.00"
2007/04/10,"7,760.00"
2007/04/11,"7,945.00"
2007/04/12,"7,846.00"
2007/04/13,"7,750.00"
2007/04/16,"7,890.00"
2007/04/17,"7,780.00"
2007/04/18,"7,970.00"
2007/04/19,"7,913.00"
2007/04/20,"8,000.00"
2007/04/23,"7,866.00"
2007/04/24,"8,069.50"
2007/04/25,"7,780.00"
2007/04/26,"7,816.00"
2007/04/27,"7,700.00"
2007/04/30,"7,771.00"
2007/05/01,"7,850.00"
2007/05/02,"7,940.50"
2007/05/03,"7,975.50"
2007/05/04,"8,161.00"
2007/05/08,"8,160.00"
2007/05/09,"8,160.00"
2007/05/10,"7,960.00"
2007/05/11,"7,805.00"
2007/05/14,"7,841.00"
2007/05/15,"7,725.00"
2007/05/16,"7,665.00"
2007/05/17,"7,380.00"
2007/05/18,"7,220.00"
2007/05/21,"7,345.00"
2007/05/22,"7,481.00"
2007/05/23,"7,165.00"
2007/05/24,"7,315.00"
2007/05/25,"7,120.00"
2007/05/29,"7,299.00"
2007/05/30,"7,200.00"
2007/05/31,"7,360.00"
2007/06/01,"7,420.00"
2007/06/04,"7,460.00"
2007/06/05,"7,555.00"
2007/06/06,"7,485.00"
2007/06/07,"7,379.00"
2007/06/08,"7,202.00"
2007/06/11,"7,280.00"
2007/06/12,"7,221.00"
2007/06/13,"7,155.00"
2007/06/14,"7,295.00"
2007/06/15,"7,381.00"
2007/06/18,"7,585.00"
2007/06/19,"7,430.00"
2007/06/20,"7,550.00"
2007/06/21,"7,481.00"
2007/06/22,"7,470.00"
2007/06/25,"7,245.00"
2007/06/26,"7,465.00"
2007/06/27,"7,265.00"
2007/06/28,"7,450.00"
2007/06/29,"7,520.00"
2007/07/02,"7,630.00"
2007/07/03,"7,736.00"
2007/07/04,"7,792.00"
2007/07/05,"7,796.00"
2007/07/06,"7,816.00"
2007/07/09,"7,940.00"
2007/07/10,"7,908.00"
2007/07/11,"7,940.00"
2007/07/12,"7,962.00"
2007/07/13,"7,850.00"
2007/07/16,"7,840.00"
2007/07/17,"7,755.00"
2007/07/18,"7,770.00"
2007/07/19,"7,920.00"
2007/07/20,"8,030.00"
2007/07/23,"8,110.00"
2007/07/24,"8,050.00"
2007/07/25,"7,871.00"
2007/07/26,"8,050.00"
2007/07/27,"7,761.00"
2007/07/30,"7,752.00"
2007/07/31,"8,010.00"
2007/08/01,"7,870.00"
2007/08/02,"7,915.00"
2007/08/03,"7,850.00"
2007/08/06,"7,652.00"
2007/08/07,"7,709.00"
2007/08/08,"7,600.00"
2007/08/09,"7,499.00"
2007/08/10,"7,320.00"
2007/08/13,"7,536.00"
2007/08/14,"7,550.00"
2007/08/15,"7,280.00"
