일자,시가,고가,저가,종가
2006-09-26,56.19,56.19,56.19,56.19
2006-09-27,56.31,56.31,56.31,56.31
2006-09-28,57.76,57.76,57.76,57.76
2006-09-29,57.80,57.80,57.80,57.80
2006-10-02,59.01,59.01,59.01,59.01
2006-10-03,56.97,56.97,56.97,56.97
2006-10-04,55.64,55.64,55.64,55.64
2006-10-06,56.64,56.64,56.64,56.64
2006-10-09,57.04,57.04,57.04,57.04
2006-10-10,56.76,56.76,56.76,56.76
2006-10-11,55.57,55.57,55.57,55.57
2006-10-12,55.36,55.36,55.36,55.36
2006-10-13,56.28,56.28,56.28,56.28
2006-10-16,56.71,56.71,56.71,56.71
2006-10-17,57.88,57.88,57.88,57.88
2006-10-18,56.86,56.86,56.86,56.86
2006-10-19,55.92,55.92,55.92,55.92
2006-10-20,57.04,57.04,57.04,57.04
2006-10-23,55.17,55.17,55.17,55.17
2006-10-24,56.31,56.31,56.31,56.31
2006-10-25,56.24,56.24,56.24,56.24
2006-10-26,57.76,57.76,57.76,57.76
2006-10-27,56.73,56.73,56.73,56.73
2006-10-30,56.53,56.53,56.53,56.53
2006-10-31,55.02,55.02,55.02,55.02
2006-11-01,56.14,56.14,56.14,56.14
2006-11-02,56.11,56.11,56.11,56.11
2006-11-03,55.62,55.62,55.62,55.62
2006-11-06,56.42,56.42,56.42,56.42
2006-11-07,57.65,57.65,57.65,57.65
2006-11-08,56.44,56.44,56.44,56.44
2006-11-09,57.65,57.65,57.65,57.65
2006-11-10,58.72,58.72,58.72,58.72
2006-11-13,57.41,57.41,57.41,57.41
2006-11-14,57.01,57.01,57.01,57.01
2006-11-15,56.66,56.66,56.66,56.66
2006-11-16,57.14,57.14,57.14,57.14
2006-11-17,55.21,55.21,55.21,55.21
2006-11-20,55.34,55.34,55.34,55.34
2006-11-21,55.88,55.88,55.88,55.88
2006-11-22,56.62,56.62,56.62,56.62
2006-11-23,55.90,55.90,55.90,55.90
2006-11-24,56.23,56.23,56.23,56.23
2006-11-27,57.02,57.02,57.02,57.02
2006-11-28,57.27,57.27,57.27,57.27
2006-11-29,57.59,57.59,57.59,57.59
