일자,현재가
2009/10/22,"1,058.60"
2009/10/23,"1,056.40"
2009/10/26,"1,042.80"
2009/10/27,"1,035.40"
2009/10/28,"1,030.50"
2009/10/29,"1,047.10"
2009/10/30,"1,040.40"
2009/11/02,"1,059.90"
2009/11/03,"1,084.60"
2009/11/04,"1,092.40"
2009/11/05,"1,090.00"
2009/11/06,"1,095.70"
2009/11/09,"1,103.40"
2009/11/10,"1,106.20"
2009/11/11,"1,117.10"
2009/11/12,"1,102.70"
2009/11/13,"1,116.70"
2009/11/16,"1,139.20"
2009/11/17,"1,139.40"
2009/11/18,"1,141.20"
2009/11/19,"1,141.90"
2009/11/20,"1,146.80"
2009/11/23,"1,164.70"
2009/11/24,"1,165.80"
2009/11/25,"1,187.00"
2009/11/26,"1,192.80"
2009/11/27,"1,174.20"
2009/11/30,"1,181.10"
2009/12/01,"1,199.10"
2009/12/02,"1,212.00"
2009/12/03,"1,218.30"
2009/12/04,"1,169.50"
2009/12/07,"1,164.00"
2009/12/08,"1,143.40"
2009/12/09,"1,120.90"
2009/12/10,"1,126.20"
2009/12/11,"1,119.90"
2009/12/14,"1,123.80"
2009/12/15,"1,123.00"
2009/12/16,"1,136.20"
2009/12/17,"1,107.40"
2009/12/18,"1,111.50"
2009/12/21,"1,096.00"
2009/12/22,"1,086.10"
2009/12/23,"1,094.00"
2009/12/24,"1,104.80"
2009/12/28,"1,107.90"
2009/12/29,"1,098.10"
2009/12/30,"1,092.50"
2009/12/31,"1,103.00"
2010/01/04,"1,118.30"
2010/01/05,"1,118.70"
2010/01/06,"1,136.50"
2010/01/07,"1,133.70"
2010/01/08,"1,138.90"
2010/01/11,"1,151.40"
2010/01/12,"1,129.40"
2010/01/13,"1,136.80"
2010/01/14,"1,143.00"
2010/01/15,"1,130.50"
2010/01/18,"1,133.40"
2010/01/19,"1,140.00"
2010/01/20,"1,112.60"
2010/01/21,"1,103.20"
2010/01/22,"1,089.70"
2010/01/25,"1,095.70"
2010/01/26,"1,098.30"
2010/01/27,"1,084.50"
2010/01/28,"1,083.60"
2010/01/29,"1,083.00"
2010/02/01,"1,104.30"
2010/02/02,"1,117.40"
2010/02/03,"1,112.00"
2010/02/04,"1,063.00"
2010/02/05,"1,052.80"
2010/02/08,"1,066.20"
2010/02/09,"1,077.20"
2010/02/10,"1,076.30"
2010/02/11,"1,094.70"
2010/02/12,"1,090.00"
2010/02/15,"1,101.20"
2010/02/16,"1,119.80"
2010/02/17,"1,120.10"
2010/02/18,"1,118.70"
2010/02/19,"1,122.10"
2010/02/22,"1,113.10"
2010/02/23,"1,103.20"
2010/02/24,"1,097.20"
2010/02/25,"1,108.50"
2010/02/26,"1,118.90"
2010/03/01,"1,118.30"
2010/03/02,"1,137.40"
2010/03/03,"1,143.30"
2010/03/04,"1,133.10"
2010/03/05,"1,135.20"
2010/03/08,"1,124.00"
2010/03/09,"1,122.30"
2010/03/10,"1,108.10"
2010/03/11,"1,108.20"
2010/03/12,"1,101.70"
2010/03/15,"1,105.40"
2010/03/16,"1,122.50"
2010/03/17,"1,124.20"
2010/03/18,"1,127.50"
2010/03/19,"1,107.60"
2010/03/22,"1,099.50"
2010/03/23,"1,103.70"
2010/03/24,"1,088.80"
2010/03/25,"1,092.90"
2010/03/26,"1,104.30"
2010/03/29,"1,110.30"
2010/03/30,"1,104.50"
2010/03/31,"1,113.30"
2010/04/01,"1,125.10"
2010/04/05,"1,132.90"
2010/04/06,"1,136.00"
2010/04/07,"1,153.00"
2010/04/08,"1,152.90"
2010/04/09,"1,161.90"
2010/04/12,"1,162.20"
2010/04/13,"1,153.40"
2010/04/14,"1,159.60"
2010/04/15,"1,160.30"
2010/04/16,"1,136.90"
2010/04/19,"1,135.80"
2010/04/20,"1,139.20"
2010/04/21,"1,148.80"
2010/04/22,"1,142.90"
2010/04/23,"1,153.70"
2010/04/26,"1,154.00"
2010/04/27,"1,162.20"
2010/04/28,"1,171.80"
2010/04/29,"1,168.80"
2010/04/30,"1,180.70"
2010/05/03,"1,183.30"
2010/05/04,"1,169.20"
2010/05/05,"1,175.00"
2010/05/06,"1,197.30"
2010/05/07,"1,210.40"
2010/05/10,"1,200.80"
2010/05/11,"1,220.30"
2010/05/12,"1,243.10"
2010/05/13,"1,229.20"
2010/05/14,"1,227.80"
2010/05/17,"1,228.10"
2010/05/18,"1,214.60"
2010/05/19,"1,193.10"
2010/05/20,"1,188.60"
2010/05/21,"1,176.10"
2010/05/24,"1,194.00"
2010/05/25,"1,198.00"
2010/05/26,"1,213.40"
2010/05/27,"1,211.90"
2010/05/28,"1,212.20"
2010/05/31,"1,215.70"
2010/06/01,"1,224.80"
2010/06/02,"1,220.60"
2010/06/03,"1,210.00"
2010/06/04,"1,217.70"
2010/06/07,"1,240.80"
2010/06/08,"1,245.60"
2010/06/09,"1,229.90"
2010/06/10,"1,222.20"
2010/06/11,"1,230.20"
2010/06/14,"1,224.50"
2010/06/15,"1,234.40"
2010/06/16,"1,230.50"
2010/06/17,"1,248.70"
2010/06/18,"1,258.30"
2010/06/21,"1,240.70"
2010/06/22,"1,240.80"
2010/06/23,"1,234.80"
2010/06/24,"1,245.90"
2010/06/25,"1,256.20"
2010/06/28,"1,238.60"
2010/06/29,"1,242.40"
2010/06/30,"1,245.90"
2010/07/01,"1,206.70"
2010/07/02,"1,207.70"
2010/07/05,"1,207.80"
2010/07/06,"1,195.10"
2010/07/07,"1,198.90"
2010/07/08,"1,196.10"
2010/07/09,"1,209.80"
2010/07/12,"1,198.70"
2010/07/13,"1,213.50"
2010/07/14,"1,207.00"
2010/07/15,"1,208.30"
2010/07/16,"1,188.20"
2010/07/19,"1,181.90"
2010/07/20,"1,191.70"
2010/07/21,"1,191.80"
2010/07/22,"1,195.60"
2010/07/23,"1,187.80"
2010/07/26,"1,183.10"
2010/07/27,"1,158.00"
2010/07/28,"1,160.40"
2010/07/29,"1,168.40"
2010/07/30,"1,181.70"
2010/08/02,"1,183.40"
2010/08/03,"1,186.10"
2010/08/04,"1,194.50"
2010/08/05,"1,197.90"
2010/08/06,"1,204.10"
2010/08/09,"1,201.40"
2010/08/10,"1,196.80"
2010/08/11,"1,198.00"
2010/08/12,"1,215.40"
2010/08/13,"1,215.40"
2010/08/16,"1,225.00"
2010/08/17,"1,227.00"
2010/08/18,"1,230.10"
2010/08/19,"1,234.20"
2010/08/20,"1,227.60"
2010/08/23,"1,227.30"
2010/08/24,"1,232.20"
2010/08/25,"1,239.90"
2010/08/26,"1,236.40"
2010/08/27,"1,236.60"
2010/08/30,"1,238.00"
2010/08/31,"1,249.00"
2010/09/01,"1,246.80"
2010/09/02,"1,252.10"
2010/09/03,"1,249.80"
2010/09/06,"1,251.40"
2010/09/07,"1,257.90"
2010/09/08,"1,256.10"
2010/09/09,"1,249.40"
2010/09/10,"1,245.00"
2010/09/13,"1,245.60"
2010/09/14,"1,270.20"
2010/09/15,"1,267.10"
2010/09/16,"1,272.20"
2010/09/17,"1,275.90"
2010/09/20,"1,279.30"
2010/09/21,"1,272.70"
2010/09/22,"1,290.50"
2010/09/23,"1,294.60"
2010/09/24,"1,296.30"
2010/09/27,"1,296.90"
2010/09/28,"1,306.60"
2010/09/29,"1,308.50"
2010/09/30,"1,307.80"
2010/10/01,"1,317.80"
2010/10/04,"1,316.80"
2010/10/05,"1,340.30"
2010/10/06,"1,347.70"
2010/10/07,"1,335.00"
2010/10/08,"1,345.30"
2010/10/11,"1,354.40"
2010/10/12,"1,346.70"
2010/10/13,"1,370.50"
2010/10/14,"1,377.60"
2010/10/15,"1,372.00"
2010/10/18,"1,372.10"
2010/10/19,"1,336.00"
2010/10/20,"1,344.20"
2010/10/21,"1,325.60"
2010/10/22,"1,325.10"
2010/10/25,"1,338.90"
2010/10/26,"1,338.60"
