일자,현재가
2006/11/12,332
2006/11/13,324
2006/11/14,321.5
2006/11/15,320
2006/11/16,319.05
2006/11/17,317.75
2006/11/19,320.5
2006/11/20,324.5
2006/11/21,324
2006/11/22,324
2006/11/23,324.9
2006/11/24,330.95
2006/11/26,321.25
2006/11/27,325.75
2006/11/28,323.2
2006/11/29,321.95
2006/11/30,329.35
2006/12/01,327.75
2006/12/04,331.45
2006/12/05,332
2006/12/06,327
2006/12/07,331.2
2006/12/08,333
2006/12/11,333.75
2006/12/12,332.95
2006/12/13,330.5
2006/12/14,330.05
2006/12/15,325.15
2006/12/17,327
2006/12/18,326.5
2006/12/19,329.25
2006/12/20,328.05
2006/12/21,327.3
2006/12/22,326.2
2006/12/25,328.4
2006/12/26,329.2
2006/12/27,327.5
2006/12/28,326.3
2006/12/29,338.5
2007/01/01,378.2
2007/01/02,340
2007/01/03,339.5
2007/01/04,340
2007/01/05,335.1
2007/01/07,335
2007/01/08,336
2007/01/09,333
2007/01/10,330.5
2007/01/11,331.5
2007/01/12,334.95
2007/01/15,334.7
2007/01/16,335.85
2007/01/17,342.9
2007/01/18,341
2007/01/19,344.9
2007/01/21,343
2007/01/22,346.75
2007/01/23,350
2007/01/24,350.55
2007/01/25,351.25
2007/01/26,350.95
2007/01/28,351.1
2007/01/29,341.9
2007/01/30,340.75
2007/01/31,339.5
2007/02/01,344.25
2007/02/02,338.25
2007/02/04,338.5
2007/02/05,341.25
2007/02/06,346
2007/02/07,342.95
2007/02/08,341.8
2007/02/09,341.65
2007/02/11,340.65
2007/02/12,337.3
2007/02/13,344.3
2007/02/14,343.95
2007/02/15,343.4
2007/02/16,341.8
2007/02/19,341.9
2007/02/20,337
2007/02/21,345.35
2007/02/22,348
2007/02/23,358.1
2007/02/25,358.4
2007/02/26,354.25
2007/02/27,346.6
2007/02/28,351.1
2007/03/01,348.8
2007/03/02,346.1
2007/03/05,342.5
2007/03/06,351
2007/03/07,352.75
2007/03/08,353
2007/03/09,356.4
2007/03/12,356
2007/03/13,350.3
2007/03/14,353.5
2007/03/15,350.55
2007/03/16,352.4
2007/03/18,354.75
2007/03/19,354.1
2007/03/20,355.3
2007/03/21,355.5
2007/03/22,357.5
2007/03/23,359.5
2007/03/25,356.8
2007/03/26,359
2007/03/27,357
2007/03/28,357.85
2007/03/29,356
2007/03/30,355.25
2007/04/01,355.25
2007/04/02,354.1
2007/04/03,355.5
2007/04/04,356.05
2007/04/05,356.75
2007/04/08,355.5
2007/04/09,359
2007/04/10,365.95
2007/04/11,369.75
2007/04/12,370.95
2007/04/13,381.05
2007/04/15,381.95
2007/04/16,377.5
2007/04/17,379
2007/04/18,383.5
2007/04/19,380
2007/04/20,388.25
2007/04/22,388
2007/04/23,384.1
2007/04/24,379.2
2007/04/25,383.2
2007/04/26,370.6
2007/04/27,374.45
2007/04/29,374
2007/04/30,370.1
2007/05/01,374.45
2007/05/02,375.75
2007/05/03,376.5
2007/05/04,377
2007/05/06,379
2007/05/09,368
2007/05/10,363
2007/05/11,368.65
2007/05/13,367.5
2007/05/14,361
2007/05/15,362
2007/05/16,357.5
2007/05/17,360.4
2007/05/18,365.25
2007/05/20,364.85
2007/05/21,371.9
2007/05/22,376.5
2007/05/23,374.75
2007/05/24,367
2007/05/25,367.8
2007/05/28,367
2007/05/29,367
2007/05/30,366.05
2007/05/31,368
2007/06/01,372.2
2007/06/04,372.25
2007/06/05,366.35
2007/06/06,374
2007/06/07,372.45
2007/06/08,370.6
2007/06/10,370.6
2007/06/11,372.5
2007/06/12,372
2007/06/13,370.65
2007/06/14,373
2007/06/15,373.5
2007/06/17,374.7
2007/06/18,374
2007/06/19,375.5
2007/06/20,379
2007/06/21,379.35
2007/06/22,381.95
2007/06/24,381
