일자,현재가
2009/08/27,14.22
2009/08/28,14.78
2009/08/31,14.9
2009/09/01,15.04
2009/09/02,15.34
2009/09/03,16.29
2009/09/04,16.29
2009/09/07,16.36
2009/09/08,16.51
2009/09/09,16.47
2009/09/10,16.67
2009/09/11,16.7
2009/09/14,16.62
2009/09/15,17
2009/09/16,17.43
2009/09/17,17.27
2009/09/18,17.07
2009/09/21,16.88
2009/09/22,17.11
2009/09/23,16.91
2009/09/24,16.3
2009/09/25,16.06
2009/09/28,16.2
2009/09/29,16.18
2009/09/30,16.66
2009/10/01,16.44
2009/10/02,16.23
2009/10/05,16.54
2009/10/06,17.3
2009/10/07,17.5
2009/10/08,17.82
2009/10/09,17.69
2009/10/12,17.82
2009/10/13,17.84
2009/10/14,17.91
2009/10/15,17.41
2009/10/16,17.42
2009/10/19,17.63
2009/10/20,17.56
2009/10/21,17.82
2009/10/22,17.55
2009/10/23,17.72
2009/10/26,17.09
2009/10/27,16.54
2009/10/28,16.24
2009/10/29,16.66
2009/10/30,16.25
2009/11/02,16.45
2009/11/03,17.22
2009/11/04,17.45
2009/11/05,17.39
2009/11/06,17.38
2009/11/09,17.57
2009/11/10,17.33
2009/11/11,17.6
2009/11/12,17.2
2009/11/13,17.38
2009/11/16,18.4
2009/11/17,18.39
2009/11/18,18.41
2009/11/19,18.45
2009/11/20,18.44
2009/11/23,18.61
2009/11/24,18.45
2009/11/25,18.77
2009/11/26,18.66
2009/11/27,18.3
2009/11/30,18.5
2009/12/01,19.18
2009/12/02,19.3
2009/12/03,19.13
2009/12/04,18.52
2009/12/07,18.36
2009/12/08,17.81
2009/12/09,17.18
2009/12/10,17.19
2009/12/11,17.09
2009/12/14,17.34
2009/12/15,17.45
2009/12/16,17.69
2009/12/17,17.2
2009/12/18,17.32
2009/12/21,17.04
2009/12/22,17.03
2009/12/23,17.19
2009/12/24,17.44
2009/12/28,17.56
2009/12/29,17.11
2009/12/30,16.8
2009/12/31,17
2010/01/04,17.46
2010/01/05,17.8
2010/01/06,18.18
2010/01/07,18.34
2010/01/08,18.47
2010/01/11,18.7
2010/01/12,18.25
2010/01/13,18.55
2010/01/14,18.66
2010/01/15,18.43
2010/01/18,18.66
2010/01/19,18.8
2010/01/20,17.88
2010/01/21,17.51
2010/01/22,16.93
2010/01/25,17.14
2010/01/26,16.86
2010/01/27,16.44
2010/01/28,16.21
2010/01/29,16.19
2010/02/01,16.66
2010/02/02,16.74
2010/02/03,16.32
2010/02/04,15.35
2010/02/05,14.83
2010/02/08,15.09
2010/02/09,15.44
2010/02/10,15.3
2010/02/11,15.59
2010/02/12,15.45
2010/02/15,15.55
2010/02/16,16.15
2010/02/17,16.1
2010/02/18,16.06
2010/02/19,16.41
2010/02/22,16.22
2010/02/23,15.89
2010/02/24,15.94
2010/02/25,16.11
2010/02/26,16.5
2010/03/01,16.45
2010/03/02,17.04
2010/03/03,17.33
2010/03/04,17.18
2010/03/05,17.38
2010/03/08,17.27
2010/03/09,17.34
2010/03/10,17.02
2010/03/11,17.16
2010/03/12,17.05
2010/03/15,17.11
2010/03/16,17.35
2010/03/17,17.52
2010/03/18,17.42
2010/03/19,17.03
2010/03/22,16.93
2010/03/23,17.03
2010/03/24,16.64
2010/03/25,16.74
2010/03/26,16.91
2010/03/29,17.39
2010/03/30,17.33
2010/03/31,17.53
2010/04/01,17.89
