일자,시가,고가,저가,종가
2006-10-27,60.36,60.80,60.03,60.75
2006-10-30,59.41,59.41,58.36,58.36
2006-10-31,57.93,58.73,57.18,58.73
2006-11-01,58.43,59.18,57.97,58.71
2006-11-02,58.01,58.73,57.78,57.88
2006-11-03,58.50,59.17,58.50,59.14
2006-11-06,59.57,60.35,59.38,60.02
2006-11-07,59.69,60.02,58.93,58.93
2006-11-08,59.35,60.15,59.20,59.83
2006-11-09,60.89,61.22,60.67,61.16
2006-11-10,60.70,60.70,59.56,59.59
2006-11-13,58.66,59.12,58.36,58.58
2006-11-14,58.72,58.99,58.16,58.28
2006-11-15,58.72,59.29,58.64,58.76
2006-11-16,59.00,59.20,56.03,58.57
2006-11-17,55.54,58.97,55.21,58.97
2006-11-20,58.15,58.82,58.06,58.80
2006-11-21,59.33,60.31,59.33,60.17
2006-11-22,60.06,60.26,58.57,59.24
2006-11-23,58.79,59.18,58.79,59.18
2006-11-24,59.92,60.10,59.24,59.24
2006-11-27,59.90,60.44,59.64,60.32
2006-11-28,60.81,61.05,60.46,60.99
2006-11-29,61.37,62.48,61.26,62.46
2006-11-30,62.98,63.49,62.78,63.13
2006-12-01,62.73,63.53,62.56,63.43
2006-12-04,62.55,62.60,62.05,62.44
2006-12-05,63.05,63.05,61.88,62.43
2006-12-06,62.33,62.95,61.96,62.19
2006-12-07,61.90,62.58,61.68,62.49
2006-12-08,63.32,63.55,62.03,62.03
2006-12-11,61.26,61.99,61.22,61.22
2006-12-12,61.43,61.96,60.78,61.02
2006-12-13,61.06,61.70,61.05,61.37
2006-12-14,62.26,62.61,62.20,62.51
2006-12-15,62.41,63.43,62.41,63.43
2006-12-18,62.82,62.87,62.11,62.21
2006-12-19,61.98,63.46,61.90,63.46
2006-12-20,63.60,64.01,63.45,63.72
2006-12-21,63.36,63.36,62.43,62.66
2006-12-22,62.92,62.92,62.21,62.41
2006-12-26,62.49,62.49,60.58,61.10
2006-12-27,60.63,61.08,60.34,60.34
2006-12-28,60.50,60.79,60.19,60.53
2006-12-29,60.22,61.11,60.12,61.05
2007-01-02,61.10,61.17,60.43,61.05
2007-01-03,59.75,59.75,57.94,58.32
2007-01-04,56.96,57.26,55.59,55.59
2007-01-05,55.70,56.31,55.25,56.31
2007-01-08,57.20,57.20,55.26,56.09
2007-01-09,54.51,56.03,54.39,55.64
2007-01-10,54.88,54.88,53.69,54.02
2007-01-11,54.01,54.71,51.88,51.88
2007-01-12,52.41,56.31,51.21,52.99
2007-01-16,52.99,52.99,51.21,51.21
2007-01-17,51.15,52.26,50.77,52.24
2007-01-18,52.04,52.04,50.24,50.48
2007-01-19,50.91,53.40,50.88,53.40
2007-01-22,52.93,53.40,50.91,52.58
2007-01-23,53.22,55.04,53.15,55.04
2007-01-24,54.60,55.37,53.82,55.37
2007-01-25,55.40,55.72,54.23,54.23
2007-01-26,55.07,55.47,54.94,55.42
2007-01-29,54.81,55.32,53.96,54.01
2007-01-30,54.62,57.00,54.57,56.97
2007-01-31,56.51,58.14,56.15,58.14
2007-02-01,58.10,58.61,57.23,57.30
2007-02-02,57.62,59.12,57.11,59.02
2007-02-05,59.77,59.84,58.68,58.74
2007-02-06,59.33,59.45,58.64,58.88
2007-02-07,59.37,59.40,57.37,57.71
2007-02-08,57.95,59.71,57.71,59.71
2007-02-09,60.02,60.59,59.65,59.89
2007-02-12,58.90,58.90,57.53,57.81
2007-02-13,58.27,59.38,58.27,59.06
2007-02-14,58.54,59.06,57.56,58.00
2007-02-15,57.12,58.03,56.86,57.99
2007-02-16,58.27,59.39,58.27,59.39
2007-02-19,58.93,58.93,58.43,58.53
2007-02-20,57.89,58.85,57.45,58.85
2007-02-21,58.78,60.51,58.41,60.07
2007-02-22,60.17,61.20,59.86,60.95
2007-02-23,61.21,61.59,60.55,61.14
2007-02-26,61.70,61.70,60.74,61.39
2007-02-27,60.65,62.12,60.65,61.46
2007-02-28,60.68,61.84,60.41,61.79
2007-03-01,61.34,62.28,61.24,62.00
2007-03-02,62.18,62.18,61.49,61.64
2007-03-05,60.40,60.59,59.62,60.07
2007-03-06,60.25,60.71,60.04,60.69
2007-03-07,60.89,61.97,60.89,61.82
2007-03-08,61.91,61.91,61.27,61.64
2007-03-09,61.22,61.22,60.02,60.05
2007-03-12,59.30,59.30,58.77,58.91
2007-03-13,59.43,59.89,57.91,57.93
2007-03-14,58.03,58.39,57.41,58.16
2007-03-15,58.07,58.36,57.41,57.55
2007-03-16,57.77,58.14,56.42,57.11
2007-03-19,56.62,59.70,56.54,59.70
2007-03-20,56.40,59.25,56.29,59.25
2007-03-21,59.75,60.13,59.39,59.61
2007-03-22,61.15,62.05,61.13,61.69
2007-03-23,62.35,62.52,61.97,62.28
2007-03-26,63.02,63.17,62.53,62.91
2007-03-27,62.51,68.09,62.44,62.93
2007-03-28,64.83,64.83,63.83,64.08
2007-03-29,64.66,66.42,64.65,66.03
2007-03-30,65.70,66.56,65.70,65.87
2007-04-02,65.80,66.52,65.42,65.94
