일자,금리
2000-04-27,6.2200
2000-04-28,6.2100
2000-05-01,6.2600
2000-05-02,6.3000
2000-05-03,6.3900
2000-05-04,6.4300
2000-05-05,6.5000
2000-05-08,6.5600
2000-05-09,6.5200
2000-05-10,6.4300
2000-05-11,6.4000
2000-05-12,6.4900
2000-05-15,6.4500
2000-05-16,6.4100
2000-05-17,6.4800
2000-05-18,6.5300
2000-05-19,6.4900
2000-05-22,6.4400
2000-05-23,6.4200
2000-05-24,6.4600
2000-05-25,6.3800
2000-05-26,6.3200
2000-05-30,6.3700
2000-05-31,6.2700
2000-06-01,6.1800
2000-06-02,6.1500
2000-06-05,6.1100
2000-06-06,6.1200
2000-06-07,6.1200
2000-06-08,6.1100
2000-06-09,6.1100
2000-06-12,6.0800
2000-06-13,6.1000
2000-06-14,6.0400
2000-06-15,6.0400
2000-06-16,5.9700
2000-06-19,6.0000
2000-06-20,6.0100
2000-06-21,6.1000
2000-06-22,6.1000
2000-06-23,6.1800
2000-06-26,6.0900
2000-06-27,6.0800
2000-06-28,6.1000
2000-06-29,6.0300
2000-06-30,6.0200
2000-07-03,5.9900
2000-07-05,5.9700
2000-07-06,6.0400
2000-07-07,6.0000
2000-07-10,6.0200
2000-07-11,6.0400
2000-07-12,6.0700
2000-07-13,6.0000
2000-07-14,6.1000
2000-07-17,6.1400
2000-07-18,6.1400
2000-07-19,6.1500
2000-07-20,6.0000
2000-07-21,5.9900
2000-07-24,6.0200
2000-07-25,6.0100
2000-07-26,6.0200
2000-07-27,6.0000
2000-07-28,6.0300
2000-07-31,6.0300
2000-08-01,5.9800
2000-08-02,5.9700
2000-08-03,5.9500
2000-08-04,5.8900
2000-08-07,5.9500
2000-08-08,5.9100
2000-08-09,5.9100
2000-08-10,5.7600
2000-08-11,5.7800
2000-08-14,5.7700
2000-08-15,5.8000
2000-08-16,5.8300
2000-08-17,5.8000
2000-08-18,5.7700
2000-08-21,5.7800
2000-08-22,5.7700
2000-08-23,5.7200
2000-08-24,5.7200
2000-08-25,5.7100
2000-08-28,5.7700
2000-08-29,5.8000
2000-08-30,5.7900
2000-08-31,5.7200
2000-09-01,5.6800
2000-09-05,5.6800
2000-09-06,5.7200
2000-09-07,5.7500
2000-09-08,5.7300
2000-09-11,5.7700
2000-09-12,5.7600
2000-09-13,5.7300
2000-09-14,5.7800
2000-09-15,5.8300
2000-09-18,5.8700
2000-09-19,5.8500
2000-09-20,5.8900
2000-09-21,5.8600
2000-09-22,5.8400
2000-09-25,5.8300
2000-09-26,5.8000
2000-09-27,5.8200
2000-09-28,5.8100
2000-09-29,5.7800
2000-10-02,5.8200
2000-10-03,5.8500
2000-10-04,5.8900
2000-10-05,5.8500
2000-10-06,5.8200
2000-10-09,5.8200
2000-10-10,5.8000
2000-10-11,5.7700
2000-10-12,5.7100
2000-10-13,5.7200
2000-10-16,5.7300
2000-10-17,5.6700
2000-10-18,5.6500
2000-10-19,5.6500
2000-10-20,5.6300
2000-10-23,5.5800
2000-10-24,5.6200
2000-10-25,5.6700
2000-10-26,5.6800
2000-10-27,5.7100
2000-10-30,5.7300
2000-10-31,5.7500
2000-11-01,5.7400
2000-11-02,5.7400
2000-11-03,5.8200
2000-11-06,5.8400
2000-11-07,5.8600
2000-11-08,5.8500
2000-11-09,5.8000
2000-11-10,5.7800
2000-11-13,5.7600
2000-11-14,5.7500
2000-11-15,5.7100
2000-11-16,5.6600
2000-11-17,5.6900
2000-11-20,5.6700
2000-11-21,5.6600
2000-11-22,5.5900
2000-11-24,5.6200
2000-11-27,5.6200
2000-11-28,5.5800
2000-11-29,5.5200
2000-11-30,5.4700
2000-12-01,5.5000
2000-12-04,5.5100
2000-12-05,5.4200
2000-12-06,5.2900
2000-12-07,5.3000
2000-12-08,5.2900
2000-12-11,5.3500
2000-12-12,5.3400
2000-12-13,5.2500
2000-12-14,5.2000
2000-12-15,5.1800
2000-12-18,5.1500
2000-12-19,5.1800
2000-12-20,5.0300
2000-12-21,5.0300
2000-12-22,5.0100
2000-12-26,5.0400
2000-12-27,5.0900
2000-12-28,5.1200
2000-12-29,5.1000
2001-01-02,4.9100
2001-01-03,5.1500
2001-01-04,5.0200
2001-01-05,4.9200
2001-01-08,4.9400
2001-01-09,4.9800
2001-01-10,5.0800
2001-01-11,5.1000
2001-01-12,5.2400
2001-01-16,5.2300
2001-01-17,5.1700
2001-01-18,5.0900
2001-01-19,5.1700
2001-01-22,5.2200
2001-01-23,5.2700
2001-01-24,5.3000
2001-01-25,5.2500
2001-01-26,5.2600
2001-01-29,5.2900
2001-01-30,5.2200
2001-01-31,5.1100
2001-02-01,5.0700
2001-02-02,5.1300
2001-02-05,5.1500
2001-02-06,5.1800
2001-02-07,5.1900
2001-02-08,5.0800
2001-02-09,5.0200
2001-02-12,5.0400
2001-02-13,5.0600
2001-02-14,5.1300
2001-02-15,5.1600
2001-02-16,5.0900
2001-02-20,5.1000
2001-02-21,5.1300
2001-02-22,5.1400
2001-02-23,5.0900
2001-02-26,5.0400
2001-02-27,4.9400
2001-02-28,4.9000
2001-03-01,4.8600
2001-03-02,4.9300
2001-03-05,4.9700
2001-03-06,4.9700
2001-03-07,4.8900
2001-03-08,4.8800
2001-03-09,4.9300
2001-03-12,4.8900
2001-03-13,4.9300
2001-03-14,4.8200
2001-03-15,4.7800
