일자,시가,고가,저가,종가,거래량,종합주가지수,투자자-개인(수량),투자자-외국인(수량),투자자-기관(수량),외국인보유비중,공매도수량,체결강도
2009-01-13,"9,810","9,860","9,600","9,830","17,596,650","1,167.71","39,275","30,458","-69,751",43.37,20,0
2009-01-14,"9,790","9,840","9,550","9,790","19,319,050","1,182.68","48,558","-40,144","-8,633",43.35,8,0
2009-01-15,"9,490","9,490","9,150","9,190","31,450,300","1,111.34","193,929","-54,868","-141,640",43.31,60,0
2009-01-16,"9,280","9,380","9,110","9,380","22,261,700","1,135.20","66,956","-91,990","24,938",43.25,0,0
2009-01-19,"9,520","9,610","9,420","9,500","19,136,900","1,150.65","-22,850","21,628","1,538",43.26,13,0
2009-01-20,"9,210","9,320","9,140","9,280","18,496,050","1,126.81","84,897","4,334","-89,679",43.26,"2,500",0
2009-01-21,"9,000","9,080","8,940","8,970","22,241,250","1,103.61","111,396","-81,878","-29,846",43.21,0,0
2009-01-22,"9,280","9,280","8,990","9,220","26,221,200","1,116.23","7,506","88,294","-96,123",43.27,40,0
2009-01-23,"8,950","9,030","8,770","8,840","31,625,650","1,093.40","116,447","28,150","-144,867",43.29,0,0
2009-01-28,"9,400","9,840","9,280","9,770","45,950,600","1,157.98","-252,741","37,585","215,944",43.31,"11,390",0
2009-01-29,"9,770","9,990","9,620","9,970","32,818,700","1,166.56","-250,886","252,847",584,43.50,"3,657",0
2009-01-30,"9,690","9,850","9,680","9,760","19,334,900","1,162.11","-29,616","-2,490","32,319",43.50,0,0
2009-02-02,"9,760","9,920","9,450","9,470","23,574,500","1,146.95","20,743","89,705","-110,901",43.56,"4,261",0
2009-02-03,"9,770","9,980","9,470","9,800","27,451,250","1,163.20","-51,325","140,106","-88,263",43.66,"1,006",0
2009-02-04,"10,100","10,400","9,990","10,360","30,703,400","1,195.37","-213,430","137,155","77,491",43.75,"2,806",0
2009-02-05,"10,400","10,720","10,260","10,420","34,791,950","1,177.88","-193,493","237,833","-42,793",43.91,"6,656",0
2009-02-06,"10,720","10,900","10,580","10,900","34,831,050","1,210.26","-225,165","256,570","-30,529",44.08,"7,414",0
2009-02-09,"10,900","10,960","10,420","10,540","32,619,950","1,202.69","27,361","125,819","-153,268",44.17,54,0
2009-02-10,"10,640","10,680","10,280","10,400","24,874,600","1,198.87","27,940","-90,607","62,325",44.10,33,0
2009-02-11,"10,120","10,380","10,100","10,260","16,267,500","1,190.18","16,875","27,389","-44,751",44.12,"2,984",0
2009-02-12,"10,140","10,400","10,020","10,400","28,021,450","1,179.84","59,575","72,031","-132,125",44.17,1,0
2009-02-13,"10,220","10,380","10,080","10,220","24,071,800","1,192.44","40,718","-57,346","16,490",44.13,"2,011",0
2009-02-16,"10,160","10,400","10,040","10,080","16,386,900","1,175.47","47,692","-1,027","-46,561",44.13,"3,564",0
2009-02-17,"9,980","10,000","9,740","9,810","23,694,950","1,127.19","72,998","37,677","-110,973",44.16,"2,003",0
2009-02-18,"9,760","9,780","9,550","9,560","29,060,500","1,113.19","137,032","-31,381","-106,086",44.14,"1,511",0
2009-02-19,"9,530","9,760","9,430","9,610","26,458,500","1,107.10","81,616","-30,124","-51,882",44.11,0,0
2009-02-20,"9,500","9,600","9,350","9,350","26,005,200","1,065.95","71,981","-145,644","73,427",44.02,"5,030",0
2009-02-23,"9,300","9,700","9,220","9,700","21,327,950","1,099.55","6,608","-4,488","-2,189",44.01,5,0
2009-02-24,"9,400","9,450","9,280","9,350","22,671,950","1,063.88","92,872","-79,524","-13,510",43.96,688,0
2009-02-25,"9,630","9,660","9,470","9,560","20,927,400","1,067.08","-5,140","-5,772","10,892",43.95,"8,508",0
2009-02-26,"9,580","9,860","9,300","9,540","21,967,700","1,054.79","-56,152","-9,416","65,631",43.95,"2,585",0
2009-02-27,"9,500","9,860","9,410","9,540","29,582,850","1,063.03","-47,942","49,100",-966,43.98,"8,889",0
2009-03-02,"9,510","9,510","9,160","9,240","24,798,300","1,018.81","90,483","-120,629","29,441",43.90,"1,396",0
2009-03-03,"9,090","9,580","9,090","9,510","24,993,200","1,025.57","-82,654","-87,750","171,070",43.84,"6,684",0
2009-03-04,"9,560","9,810","9,380","9,780","26,113,300","1,059.26","-70,915","-2,578","73,493",43.83,"6,657",0
2009-03-05,"9,980","10,120","9,790","10,060","32,982,600","1,058.18","-158,716","220,150","-60,796",43.98,"6,809",0
2009-03-06,"9,920","10,100","9,880","10,060","19,412,000","1,055.03","-56,969","6,699","50,476",43.98,"2,803",0
2009-03-09,"10,200","10,320","9,950","10,300","18,225,250","1,071.73","-55,232","77,515","-22,048",44.04,"6,560",0
