일자,시간,시가,고가,저가,종가,거래량,종합주가지수,투자자-개인(수량),투자자-외국인(수량),투자자-기관(수량),외국인보유비중,공매도수량,체결강도
2019-06-05,13:00,"44,000","44,050","43,950","44,050","1,026,139","3,032.42",,,,,,
2019-06-05,14:00,"44,000","44,050","43,800","43,850","1,380,695","3,032.42",,,,,,
2019-06-05,15:00,"43,800","43,950","43,800","43,800","1,199,204","3,032.42",,,,,,
2019-06-05,16:00,"43,800","43,900","43,700","43,900","1,380,322","3,032.42",,,,,,
2019-06-07,10:00,"43,600","44,150","43,450","43,900","3,298,032","3,032.42",,,,,,
2019-06-07,11:00,"43,850","44,200","43,850","44,200","1,013,731","3,032.42",,,,,,
2019-06-07,12:00,"44,200","44,350","44,150","44,250","1,275,851","3,032.42",,,,,,
2019-06-07,13:00,"44,300","44,350","44,200","44,300","801,957","3,032.42",,,,,,
2019-06-07,14:00,"44,300","44,350","44,100","44,100","1,008,685","3,032.42",,,,,,
2019-06-07,15:00,"44,100","44,150","43,800","43,950","1,754,063","3,032.42",,,,,,
2019-06-07,16:00,"43,950","44,200","43,900","44,200","2,466,110","3,032.42",,,,,,
2019-06-10,10:00,"44,300","44,550","44,200","44,250","1,653,424","3,032.42",,,,,,
2019-06-10,11:00,"44,250","44,300","44,050","44,300","687,858","3,032.42",,,,,,
2019-06-10,12:00,"44,300","44,700","44,250","44,600","1,328,667","3,032.42",,,,,,
2019-06-10,13:00,"44,650","44,650","44,450","44,550","680,164","3,032.42",,,,,,
2019-06-10,14:00,"44,550","44,850","44,500","44,850","1,236,521","3,032.42",,,,,,
2019-06-10,15:00,"44,850","44,850","44,650","44,750","1,178,111","3,032.42",,,,,,
2019-06-10,16:00,"44,750","44,800","44,650","44,800","1,851,271","3,032.42",,,,,,
2019-06-11,10:00,"44,800","44,850","44,550","44,700","1,324,050","3,032.42",,,,,,
2019-06-11,11:00,"44,700","44,900","44,650","44,850","965,384","3,032.42",,,,,,
2019-06-11,12:00,"44,800","44,850","44,750","44,800","467,070","3,032.42",,,,,,
2019-06-11,13:00,"44,850","44,850","44,700","44,750","744,926","3,032.42",,,,,,
2019-06-11,14:00,"44,750","44,900","44,750","44,850","703,676","3,032.42",,,,,,
2019-06-11,15:00,"44,850","45,000","44,850","44,950","1,096,274","3,032.42",,,,,,
