일자,시가,고가,저가,종가,거래량,종합주가지수,투자자-개인(수량),투자자-외국인(수량),투자자-기관(수량),외국인보유비중,공매도수량,체결강도
Jan-80,81,98,76,94,"39,209,818",105.89,0,0,0,0.00,,0
Feb-80,95,100,90,95,"27,870,917",103.74,0,0,0,0.00,,0
Mar-80,87,114,81,103,"57,467,670",105.00,0,0,0,0.00,,0
Apr-80,103,136,103,117,"121,922,129",116.09,0,0,0,0.00,,0
May-80,117,119,92,113,"60,552,036",116.43,0,0,0,0.00,,0
Jun-80,115,115,97,103,"31,076,318",112.62,0,0,0,0.00,,0
Jul-80,102,103,83,92,"30,598,430",112.71,0,0,0,0.00,,0
Aug-80,92,92,75,83,"27,917,870",112.65,0,0,0,0.00,,0
Sep-80,82,90,75,87,"51,968,822",110.35,0,0,0,0.00,,0
Oct-80,86,87,71,73,"33,560,715",105.71,0,0,0,0.00,,0
Nov-80,74,86,69,83,"74,906,437",106.93,0,0,0,0.00,,0
Dec-80,83,84,69,70,"39,336,073",106.87,0,0,0,0.00,,0
Jan-81,72,88,71,76,"58,915,948",105.70,0,0,0,0.00,,0
Feb-81,76,78,65,67,"34,580,140",104.10,0,0,0,0.00,,0
Mar-81,67,70,61,65,"42,525,822",107.40,0,0,0,0.00,,0
Apr-81,65,79,65,76,"62,868,440",122.40,0,0,0,0.00,,0
May-81,75,84,69,80,"58,179,288",126.30,0,0,0,0.00,,0
Jun-81,81,97,80,92,"131,999,531",150.80,0,0,0,0.00,,0
Jul-81,94,115,89,93,"88,919,634",148.10,0,0,0,0.00,,0
Aug-81,93,104,92,93,"42,755,376",140.10,0,0,0,0.00,,0
Sep-81,92,106,90,90,"42,893,110",132.30,0,0,0,0.00,,0
Oct-81,95,103,74,77,"25,495,038",123.00,0,0,0,0.00,,0
Nov-81,78,86,68,78,"21,970,348",132.40,0,0,0,0.00,,0
Dec-81,78,83,72,81,"18,757,643",131.30,0,0,0,0.00,,0
Jan-82,83,96,80,92,"44,714,929",125.65,0,0,0,0.00,,0
Feb-82,94,111,91,110,"89,478,911",128.78,0,0,0,0.00,,0
Mar-82,111,118,97,104,"95,251,138",127.83,0,0,0,0.00,,0
Apr-82,106,107,81,87,"52,161,853",121.40,0,0,0,0.00,,0
May-82,86,89,72,81,"67,621,242",114.57,0,0,0,0.00,,0
Jun-82,81,103,81,101,"127,437,674",123.64,0,0,0,0.00,,0
Jul-82,100,107,91,100,"104,810,997",125.08,0,0,0,0.00,,0
Aug-82,101,101,87,89,"38,452,291",121.94,0,0,0,0.00,,0
Sep-82,89,89,78,84,"33,071,346",119.71,0,0,0,0.00,,0
Oct-82,84,86,77,85,"27,186,431",121.91,0,0,0,0.00,,0
Nov-82,87,90,82,83,"34,750,217",123.66,0,0,0,0.00,,0
Dec-82,83,88,81,88,"30,871,810",128.99,0,0,0,0.00,,0
Jan-83,86,97,83,84,"58,620,656",118.27,0,0,0,0.00,,0
Feb-83,84,90,84,87,"21,652,101",123.50,0,0,0,0.00,,0
Mar-83,87,87,81,85,"12,205,975",119.80,0,0,0,0.00,,0
Apr-83,86,95,82,95,"43,943,839",131.44,0,0,0,0.00,,0
May-83,99,104,88,92,"69,008,998",125.76,0,0,0,0.00,,0
Jun-83,93,98,87,92,"35,272,976",122.44,0,0,0,0.00,,0
Jul-83,92,97,91,94,"18,051,240",125.04,0,0,0,0.00,,0
Aug-83,94,96,91,92,"20,048,359",118.82,0,0,0,0.00,,0
Sep-83,91,94,86,88,"21,062,567",117.71,0,0,0,0.00,,0
Oct-83,88,89,75,84,"28,499,059",121.42,0,0,0,0.00,,0
Nov-83,84,90,81,83,"26,019,880",117.63,0,0,0,0.00,,0
Dec-83,83,87,83,86,"22,951,168",121.21,0,0,0,0.00,,0
Jan-84,85,94,81,92,"68,565,543",124.08,0,0,0,0.00,,0
Feb-84,92,106,92,94,"110,558,186",129.66,0,0,0,0.00,,0
Mar-84,95,95,86,90,"34,019,822",133.35,0,0,0,0.00,,0
Apr-84,90,93,87,89,"32,753,106",135.60,0,0,0,0.00,,0
May-84,90,95,81,92,"39,724,226",130.47,0,0,0,0.00,,0
Jun-84,92,100,88,94,"29,967,160",130.28,0,0,0,0.00,,0
Jul-84,94,100,88,94,"29,543,527",134.54,0,0,0,0.00,,0
Aug-84,94,99,88,91,"47,561,392",136.11,0,0,0,0.00,,0
Sep-84,93,95,76,81,"27,942,915",134.13,0,0,0,0.00,,0
Oct-84,82,83,78,81,"15,592,934",129.82,0,0,0,0.00,,0
Nov-84,80,83,80,81,"14,902,186",135.54,0,0,0,0.00,,0
Dec-84,81,88,81,81,"20,786,063",142.46,0,0,0,0.00,,0
Jan-85,81,81,74,76,"18,392,443",138.90,0,0,0,0.00,,0
Feb-85,77,81,76,80,"17,883,253",134.93,0,0,0,0.00,,0
Mar-85,80,83,75,81,"25,052,627",136.46,0,0,0,0.00,,0
Apr-85,84,85,76,78,"23,597,050",134.15,0,0,0,0.00,,0
May-85,76,78,74,75,"19,460,908",134.09,0,0,0,0.00,,0
Jun-85,75,80,71,73,"24,160,497",136.58,0,0,0,0.00,,0
Jul-85,72,80,72,78,"19,424,389",137.38,0,0,0,0.00,,0
Aug-85,77,80,74,78,"15,122,350",136.49,0,0,0,0.00,,0
Sep-85,78,80,77,79,"13,107,494",138.91,0,0,0,0.00,,0
Oct-85,80,105,79,102,"165,671,905",140.88,0,0,0,0.00,,0
Nov-85,102,129,99,124,"260,771,756",150.16,0,0,0,0.00,,0
Dec-85,123,124,107,119,"190,031,709",163.37,0,0,0,0.00,,0
Jan-86,117,157,110,153,"315,283,417",160.41,0,0,0,0.00,,0
Feb-86,153,176,151,168,"208,379,296",175.91,0,0,0,0.00,,0
Mar-86,169,208,167,201,"168,512,107",199.76,0,0,0,0.00,,0
Apr-86,202,227,186,198,"116,450,408",202.91,0,0,0,0.00,,0
May-86,201,237,189,225,"94,192,063",231.06,0,0,0,0.00,,0
Jun-86,220,239,213,218,"64,690,261",243.36,0,0,0,0.00,,0
Jul-86,220,273,220,265,"77,759,161",273.75,0,0,0,0.00,,0
Aug-86,262,276,238,258,"29,909,766",264.64,0,0,0,0.00,,0
Sep-86,259,283,253,261,"59,791,378",253.45,0,0,0,0.00,,0
Oct-86,261,262,220,249,"45,088,474",240.79,0,0,0,0.00,,0
Nov-86,246,274,244,271,"79,388,989",268.98,0,0,0,0.00,,0
Dec-86,273,281,258,268,"32,632,068",272.61,0,0,0,0.00,,0
Jan-87,262,330,258,309,"63,697,963",310.22,0,0,0,0.00,,0
Feb-87,306,321,297,321,"54,441,739",334.98,0,0,0,0.00,,0
Mar-87,322,372,316,372,"59,226,884",405.13,0,0,0,0.00,,0
Apr-87,384,386,316,326,"17,429,360",358.63,0,0,0,0.00,,0
May-87,332,342,316,322,"8,610,331",387.99,0,0,0,0.00,,0
Jun-87,324,330,282,312,"9,952,178",411.76,0,0,0,0.00,,0
Jul-87,321,350,310,328,"16,131,338",485.48,0,0,0,0.00,,0
Aug-87,325,335,287,306,"12,936,373",474.01,0,0,0,0.00,,0
Sep-87,306,311,278,300,"15,878,832",485.35,0,0,0,0.00,,0
Oct-87,301,335,276,288,"13,430,956",509.05,0,0,0,0.00,,0
Nov-87,297,297,251,283,"29,276,409",475.59,0,0,0,0.00,,0
Dec-87,284,315,268,310,"28,175,598",525.11,0,0,0,0.00,,0
Jan-88,301,319,289,313,"48,734,204",633.58,0,0,0,0.00,,0
Feb-88,320,335,278,285,"35,377,319",612.35,0,0,0,0.00,,0
Mar-88,281,303,276,290,"20,836,146",656.47,0,0,0,0.00,,0
Apr-88,291,317,291,299,"35,514,007",647.17,0,0,0,0.00,,0
May-88,299,320,287,300,"24,784,466",717.35,0,0,0,0.00,,0
Jun-88,299,328,288,297,"43,817,584",702.83,0,0,0,0.00,,0
Jul-88,297,321,287,313,"73,699,191",721.08,0,0,0,0.00,,0
Aug-88,306,311,271,271,"12,576,389",664.43,0,0,0,0.00,,0
Sep-88,271,306,271,301,"18,845,290",677.54,0,0,0,0.00,,0
Oct-88,306,330,297,319,"22,151,904",729.79,0,0,0,0.00,,0
Nov-88,316,369,316,327,"178,164,832",831.12,0,0,0,0.00,,0
Dec-88,324,345,316,342,"170,523,833",907.20,0,0,0,0.00,,0
Jan-89,348,353,328,351,"112,089,935",884.29,0,0,0,0.00,,0
Feb-89,353,375,341,368,"149,410,123",917.90,0,0,0,0.00,,0
Mar-89,368,402,362,392,"274,372,804","1,003.31",0,0,0,0.00,,0
Apr-89,391,395,342,345,"88,698,429",940.54,0,0,0,0.00,,0
May-89,348,361,338,354,"63,962,992",932.76,0,0,0,0.00,,0
Jun-89,356,368,332,357,"87,858,474",854.61,0,0,0,0.00,,0
Jul-89,356,423,349,408,"236,468,300",895.66,0,0,0,0.00,,0
Aug-89,411,480,405,453,"524,893,965",975.28,0,0,0,0.00,,0
Sep-89,457,483,443,457,"357,788,386",942.41,0,0,0,0.00,,0
Oct-89,457,457,418,438,"103,158,215",894.02,0,0,0,0.00,,0
Nov-89,442,458,423,425,"100,059,242",906.33,0,0,0,0.00,,0
Dec-89,427,451,389,434,"276,436,703",909.72,0,0,0,0.00,,0
Jan-90,421,438,392,410,"91,862,095",896.16,0,0,0,0.00,,0
Feb-90,407,435,395,416,"111,006,860",861.59,0,0,0,0.00,,0
Mar-90,421,440,406,437,"273,358,595",840.89,0,0,0,0.00,,0
Apr-90,437,437,351,351,"52,643,918",688.66,0,0,0,0.00,,0
May-90,345,400,345,391,"56,999,174",797.95,0,0,0,0.00,,0
Jun-90,406,426,371,373,"86,293,339",706.79,0,0,0,0.00,,0
Jul-90,374,392,351,358,"38,317,689",678.38,0,0,0,0.00,,0
Aug-90,358,369,294,302,"71,445,394",606.87,0,0,0,0.00,,0
Sep-90,302,321,286,311,"53,139,540",602.88,0,0,0,0.00,,0
Oct-90,311,379,311,348,"75,768,306",690.16,0,0,0,0.00,,0
Nov-90,345,359,318,330,"38,726,903",697.03,0,0,0,0.00,,0
Dec-90,333,344,314,319,"66,049,565",696.11,0,0,0,0.00,,0
Jan-91,312,316,285,294,"31,824,927",635.40,0,0,0,0.00,,0
Feb-91,292,332,291,327,"42,782,850",675.57,0,0,0,0.00,,0
Mar-91,330,348,320,328,"50,076,065",659.85,0,0,0,0.00,,0
Apr-91,324,329,319,324,"30,360,284",645.61,0,0,0,0.00,,0
May-91,326,331,309,324,"29,018,728",611.35,0,0,0,0.00,,0
Jun-91,316,333,311,333,"44,515,390",605.27,0,0,0,0.00,,0
Jul-91,337,401,337,383,"245,924,389",717.03,0,0,0,0.00,,0
Aug-91,380,400,365,378,"101,060,303",683.11,0,0,0,0.00,,0
Sep-91,377,389,371,386,"50,161,918",705.08,0,0,0,0.00,,0
Oct-91,388,389,325,325,"128,552,377",695.94,0,0,0,0.00,,0
Nov-91,324,335,304,312,"82,689,465",652.11,0,0,0,0.00,,0
Dec-91,312,324,288,305,"84,394,699",610.91,0,0,0,0.00,,0
Jan-92,306,351,306,351,"169,908,139",680.51,0,0,0,0.00,,0
Feb-92,361,373,302,304,"58,443,630",612.50,0,0,0,0.00,,0
Mar-92,304,328,293,312,"104,573,969",606.32,0,0,0,0.00,,0
Apr-92,311,318,267,280,"108,541,245",615.97,0,0,0,0.00,,0
May-92,281,292,247,252,"72,396,649",574.20,0,0,0,0.00,,0
Jun-92,249,287,249,270,"120,970,204",552.03,0,0,0,0.00,,0
Jul-92,273,284,254,273,"127,781,922",509.95,0,0,0,0.00,,0
Aug-92,273,312,252,312,"102,679,377",562.79,0,0,0,0.00,,0
Sep-92,320,322,290,303,"110,001,850",513.82,0,0,0,0.00,,0
Oct-92,303,339,297,317,"153,556,943",615.58,0,0,0,0.00,,0
Nov-92,318,348,312,326,"131,350,326",663.36,0,0,0,0.00,,0
Dec-92,326,341,308,331,"107,727,925",678.44,0,0,0,0.00,,0
Jan-93,334,378,329,354,"209,011,693",670.56,0,0,0,0.00,,0
Feb-93,341,354,313,313,"47,323,860",642.96,0,0,0,0.00,,0
Mar-93,313,349,302,345,"64,853,884",666.75,0,0,0,0.00,,0
Apr-93,345,425,341,400,"467,738,669",721.57,0,0,0,0.00,,0
May-93,395,423,394,405,"152,688,504",752.31,0,0,0,0.00,,0
Jun-93,410,421,386,393,"197,379,265",748.87,0,0,0,0.00,,0
Jul-93,397,422,386,393,"134,232,103",729.94,0,0,0,0.00,,0
Aug-93,390,418,364,383,"135,142,690",664.88,0,0,0,0.00,,0
Sep-93,383,404,381,401,"162,895,970",718.87,0,0,0,0.00,,0
Oct-93,401,441,395,439,"389,911,989",750.72,0,0,0,0.00,,0
Nov-93,451,531,450,508,"869,806,610",811.06,0,0,0,0.00,,0
Dec-93,513,639,505,589,"972,711,078",866.18,0,0,0,0.00,,0
Jan-94,596,778,582,745,"964,066,911",945.71,0,0,0,0.00,,0
Feb-94,745,819,653,745,"661,154,406",918.88,0,0,0,0.00,,0
Mar-94,735,808,674,690,"493,731,296",867.22,0,0,0,0.00,,0
Apr-94,684,854,648,854,"555,111,515",908.72,0,0,0,0.00,,0
May-94,871,973,848,930,"596,117,104",939.49,0,0,0,0.00,,0
Jun-94,928,951,857,876,"329,251,202",933.36,0,0,0,0.00,,0
Jul-94,876,980,871,945,"308,770,490",927.97,0,0,0,0.00,,0
Aug-94,945,"1,260",923,"1,260","639,208,035",944.23,0,0,0,0.00,,0
Sep-94,"1,292","1,581","1,292","1,418","648,515,443","1,050.51",0,0,0,0.00,,0
Oct-94,"1,428","1,597","1,360","1,431","348,530,347","1,105.61",0,0,0,0.00,,0
Nov-94,"1,462","1,491","1,229","1,328","343,974,201","1,074.41",0,0,0,0.00,,0
Dec-94,"1,355","1,355","1,104","1,145","317,184,603","1,027.36",0,0,0,0.00,,0
Jan-95,"1,163","1,173","1,001","1,147","259,400,862",925.56,0,0,0,0.00,,0
Feb-95,"1,179","1,244","1,109","1,228","283,426,355",885.69,0,0,0,0.00,,0
Mar-95,"1,238","1,585","1,238","1,488","586,771,058",931.78,0,0,0,0.00,,0
Apr-95,"1,492","1,673","1,356","1,557","379,449,317",897.00,0,0,0,0.00,,0
May-95,"1,563","1,634","1,369","1,427","224,610,858",882.50,0,0,0,0.00,,0
Jun-95,"1,440","1,615","1,440","1,576","352,431,253",894.41,0,0,0,0.00,,0
Jul-95,"1,576","1,984","1,524","1,815","586,919,485",933.57,0,0,0,0.00,,0
Aug-95,"1,828","1,887","1,660","1,815","252,706,238",914.06,0,0,0,0.00,,0
Sep-95,"1,828","2,244","1,809","2,140","591,856,352",982.65,0,0,0,0.00,,0
Oct-95,"2,107","2,282","2,094","2,179","319,718,154",990.26,0,0,0,0.00,,0
Nov-95,"2,192","2,263","1,815","1,880","337,538,096",930.92,0,0,0,0.00,,0
Dec-95,"1,874","2,133","1,686","1,828","302,177,293",882.94,0,0,0,0.00,,0
Jan-96,"1,848","1,915","1,668","1,875","227,777,170",878.82,0,0,0,0.00,,0
Feb-96,"1,875","1,922","1,708","1,722","241,682,631",852.83,0,0,0,0.00,,0
Mar-96,"1,722","1,835","1,433","1,562","307,781,578",874.16,0,0,0,0.00,,0
Apr-96,"1,562","1,926","1,452","1,839","331,714,729",980.90,0,0,0,0.00,,0
May-96,"1,822","1,822","1,129","1,197","346,740,740",903.09,0,0,0,0.00,,0
Jun-96,"1,232","1,301","1,129","1,188","195,755,260",817.43,0,0,0,0.00,,0
Jul-96,"1,197","1,364","1,154","1,214","164,941,567",821.71,0,0,0,0.00,,0
Aug-96,"1,232","1,308","1,025","1,065","139,832,344",781.49,0,0,0,0.00,,0
Sep-96,"1,067","1,168",937,"1,124","144,546,409",789.67,0,0,0,0.00,,0
Oct-96,"1,190","1,256",991,"1,008","201,396,927",757.59,0,0,0,0.00,,0
Nov-96,"1,025","1,173","1,015","1,046","102,127,657",726.48,0,0,0,0.00,,0
Dec-96,"1,036","1,058",755,789,"94,553,350",651.22,0,0,0,0.00,,0
Jan-97,789,887,686,837,"172,214,710",685.84,0,0,0,0.00,,0
Feb-97,837,"1,084",819,"1,031","228,129,412",676.53,0,0,0,0.00,,0
Mar-97,"1,031","1,093",916,"1,065","157,389,593",677.34,0,0,0,0.00,,0
Apr-97,"1,074","1,156","1,036","1,077","168,214,557",703.23,0,0,0,0.00,,0
May-97,"1,143","1,231","1,049","1,197","316,499,203",756.77,0,0,0,0.00,,0
Jun-97,"1,215","1,340","1,152","1,259","173,394,826",745.40,0,0,0,0.00,,0
Jul-97,"1,259","1,313","1,149","1,159","107,286,624",726.12,0,0,0,0.00,,0
Aug-97,"1,165","1,349","1,161","1,259","215,080,621",695.37,0,0,0,0.00,,0
Sep-97,"1,258","1,295","1,143","1,188","83,756,333",647.11,0,0,0,0.00,,0
Oct-97,"1,186","1,215",657,677,"200,231,708",470.79,0,0,0,0.00,,0
Nov-97,679,918,677,755,"570,547,600",407.86,0,0,0,0.00,,0
Dec-97,750,891,627,686,"681,833,283",376.31,0,0,0,0.00,,0
Jan-98,691,"1,702",691,"1,615","868,526,861",567.38,0,0,0,0.00,,0
Feb-98,"1,495","1,851","1,336","1,851","788,667,687",558.98,0,0,0,0.00,,0
Mar-98,"1,851","1,906","1,323","1,325","416,712,954",481.04,0,0,0,0.00,,0
Apr-98,"1,321","1,514","1,062","1,377","427,797,140",421.22,0,0,0,0.00,,0
May-98,"1,340","1,359",822,936,"470,720,197",332.03,0,0,0,0.00,,0
Jun-98,930,968,679,791,"683,167,303",297.88,0,0,0,0.00,,0
Jul-98,804,"1,169",791,847,"778,880,884",343.33,0,0,0,0.00,,0
Aug-98,828,917,724,860,"563,477,123",310.16,0,0,0,0.00,,0
Sep-98,869,948,624,727,"937,201,205",310.32,0,0,0,0.00,,0
Oct-98,720,"1,149",687,"1,149","1,574,786,078",403.44,0,0,0,0.00,,0
Nov-98,"1,168","1,396","1,103","1,275","1,071,740,544",451.88,0,0,0,0.00,,0
Dec-98,"1,254","1,666","1,162","1,545","948,184,973",562.46,0,0,0,0.00,,0
Jan-99,"1,776","1,886","1,604","1,759","654,584,417",571.43,0,0,0,0.00,,0
Feb-99,"1,800","1,800","1,538","1,686","369,160,849",520.06,0,0,0,0.00,,0
Mar-99,"1,704","2,025","1,596","1,858","604,522,907",618.98,0,0,0,0.00,,0
Apr-99,"1,860","2,230","1,757","1,788","768,611,008",752.59,0,0,0,0.00,,0
May-99,"1,798","1,930","1,578","1,658","733,641,761",736.02,0,0,0,0.00,,0
Jun-99,"1,640","2,680","1,626","2,540","1,359,764,950",883.00,0,0,0,0.00,,0
Jul-99,"2,580","4,080","2,550","3,780","1,530,466,600",969.72,0,0,0,0.00,,0
Aug-99,"3,770","4,660","3,460","4,480","953,286,350",937.88,0,0,0,0.00,,0
Sep-99,"4,600","5,040","3,940","3,940","1,202,123,900",836.18,0,0,0,0.00,,0
Oct-99,"3,940","4,260","3,510","4,000","867,505,800",833.51,0,0,0,0.00,,0
Nov-99,"4,200","4,900","4,100","4,800","799,653,550",996.66,0,0,0,0.00,,0
Dec-99,"4,750","5,720","4,710","5,320","955,500,100","1,028.07",0,0,0,0.00,,0
Jan-00,"6,000","6,180","5,360","5,580","902,591,650",943.88,0,0,0,0.00,,0
Feb-00,"5,600","5,960","4,780","5,120","1,092,347,750",828.38,0,0,0,0.00,,0
Mar-00,"5,880","7,680","5,120","6,700","1,278,455,950",860.94,0,0,0,0.00,,0
Apr-00,"6,920","7,500","5,340","6,000","875,164,250",725.39,0,0,0,0.00,,0
May-00,"6,200","7,340","5,240","6,160","1,063,008,650",731.88,0,0,0,0.00,,0
Jun-00,"6,200","7,740","6,120","7,380","1,084,136,200",821.22,0,0,0,0.00,,0
Jul-00,"7,440","7,880","5,550","5,900","863,514,750",705.97,0,0,0,0.00,,0
Aug-00,"5,960","6,560","5,380","5,470","754,101,450",688.62,0,0,0,0.00,,0
Sep-00,"5,540","5,600","3,700","4,040","1,364,568,700",613.22,0,0,0,0.00,,0
Oct-00,"3,840","4,080","2,420","2,850","1,879,915,150",514.48,0,0,0,0.00,,0
Nov-00,"3,000","3,800","2,960","3,240","1,265,180,400",509.23,0,0,0,0.00,,0
Dec-00,"3,080","3,780","3,040","3,160","1,055,903,050",504.62,0,0,0,0.00,,0
Jan-01,"3,160","4,700","3,140","4,400","1,030,453,150",617.91,0,0,0,0.00,,0
Feb-01,"4,270","4,420","3,700","3,740","672,347,700",578.10,0,0,0,0.00,,0
Mar-01,"3,700","4,430","3,530","4,160","750,272,800",528.79,0,0,0,0.00,,0
Apr-01,"4,040","4,920","3,610","4,580","894,325,950",577.36,0,0,0,0.00,,0
May-01,"4,700","4,780","4,190","4,240","613,716,100",612.16,0,0,0,0.00,,0
Jun-01,"4,300","4,510","3,690","3,840","672,271,600",595.13,0,0,0,0.00,,0
Jul-01,"3,840","3,950","3,260","3,790","661,006,750",541.55,0,0,0,0.00,,0
Aug-01,"3,830","4,040","3,630","3,800","482,276,400",545.11,0,0,0,0.00,,0
Sep-01,"3,810","3,940","2,680","2,800","716,099,450",479.68,0,0,0,0.00,,0
Oct-01,"3,000","3,710","2,860","3,470","690,049,750",537.81,0,0,0,0.00,,0
Nov-01,"3,540","4,660","3,480","4,360","852,923,000",643.89,0,0,0,0.00,,0
Dec-01,"4,430","5,860","4,290","5,580","960,124,950",693.70,0,0,0,0.00,,0
Jan-02,"5,660","6,600","5,620","6,010","1,018,504,400",748.07,0,0,0,0.00,,0
Feb-02,"6,200","7,100","6,090","6,860","714,936,050",819.99,0,0,0,0.00,,0
Mar-02,"7,010","7,420","6,580","7,360","962,243,100",895.58,0,0,0,0.00,,0
Apr-02,"7,500","8,640","7,110","7,640","1,231,768,800",842.34,0,0,0,0.00,,0
May-02,"7,740","7,740","6,410","6,840","1,069,534,750",796.40,0,0,0,0.00,,0
Jun-02,"6,720","7,500","6,180","6,580","696,460,650",742.72,0,0,0,0.00,,0
Jul-02,"6,440","7,410","6,340","6,650","840,701,650",717.99,0,0,0,0.00,,0
Aug-02,"6,670","7,060","5,970","6,620","751,765,500",736.40,0,0,0,0.00,,0
Sep-02,"6,590","6,860","5,880","5,970","602,858,600",646.42,0,0,0,0.00,,0
Oct-02,"5,820","7,260","5,310","6,900","1,044,224,000",658.92,0,0,0,0.00,,0
Nov-02,"6,860","7,850","6,770","7,740","780,793,950",724.80,0,0,0,0.00,,0
Dec-02,"7,740","7,900","6,260","6,280","670,778,600",627.55,0,0,0,0.00,,0
Jan-03,"6,380","7,180","5,790","5,830","756,035,450",591.86,0,0,0,0.00,,0
Feb-03,"5,780","6,280","5,190","5,590","724,005,850",575.43,0,0,0,0.00,,0
Mar-03,"5,590","6,340","5,400","5,680","802,022,900",535.70,0,0,0,0.00,,0
Apr-03,"5,560","6,340","5,440","6,100","880,073,000",599.35,0,0,0,0.00,,0
May-03,"6,100","6,590","5,910","6,480","546,573,100",633.42,0,0,0,0.00,,0
Jun-03,"6,580","7,500","6,430","7,100","538,587,900",669.93,0,0,0,0.00,,0
Jul-03,"7,100","8,490","7,040","8,320","612,622,150",713.52,0,0,0,0.00,,0
Aug-03,"8,360","9,000","7,930","8,700","407,053,700",759.47,0,0,0,0.00,,0
Sep-03,"8,740","9,400","7,560","7,840","604,802,750",697.52,0,0,0,0.00,,0
Oct-03,"7,760","9,510","7,740","9,400","719,850,950",782.36,0,0,0,0.00,,0
Nov-03,"9,400","9,690","8,840","9,300","491,021,250",796.18,0,0,0,0.00,,0
Dec-03,"9,300","9,510","8,710","9,020","562,001,000",810.71,0,0,0,0.00,,0
Jan-04,"9,020","11,100","8,930","10,480","568,948,300",848.50,0,0,0,0.00,,0
Feb-04,"10,480","11,420","10,060","10,900","443,660,100",883.42,0,0,0,0.00,,0
Mar-04,"11,100","11,440","10,140","11,440","537,591,950",880.50,0,0,0,0.00,,0
Apr-04,"11,400","12,760","10,980","11,140","716,342,550",862.84,0,0,0,0.00,,0
May-04,"11,140","11,280","8,960","10,120","769,899,450",803.84,0,0,0,0.00,,0
Jun-04,"10,160","10,340","8,420","9,540","741,485,800",785.79,0,0,0,0.00,,0
Jul-04,"9,520","9,550","7,990","8,340","655,396,250",735.34,0,0,0,0.00,,0
Aug-04,"8,350","9,250","8,060","9,020","453,823,750",803.57,0,0,0,0.00,,0
Sep-04,"9,020","9,760","8,570","9,160","496,385,650",835.09,0,0,0,0.00,,0
Oct-04,"9,160","10,020","8,490","8,790","683,302,550",834.84,0,0,0,0.00,,0
Nov-04,"8,750","9,390","8,470","8,690","543,981,500",878.06,0,0,0,0.00,,0
Dec-04,"8,570","9,020","7,980","9,010","512,855,700",895.92,0,0,0,0.00,,0
Jan-05,"9,050","9,900","8,670","9,900","491,781,000",932.70,0,0,0,0.00,,0
Feb-05,"9,900","10,640","9,720","10,540","377,259,600","1,011.36",0,0,0,0.00,,0
Mar-05,"10,500","10,560","9,790","10,040","465,472,750",965.68,0,0,0,0.00,,0
Apr-05,"10,040","10,500","8,990","9,040","447,064,350",911.30,0,0,0,0.00,,0
May-05,"9,120","10,040","9,000","9,780","355,425,350",970.21,0,0,0,0.00,,0
Jun-05,"9,670","10,040","9,430","9,880","478,623,000","1,008.16",0,0,0,0.00,,0
Jul-05,"9,880","11,360","9,860","11,300","516,900,500","1,111.29",0,0,0,0.00,,0
Aug-05,"11,320","11,640","10,660","10,880","454,205,050","1,083.33",0,0,0,0.00,,0
Sep-05,"10,980","12,380","10,940","11,760","435,402,400","1,221.01",0,0,0,0.00,,0
Oct-05,"11,800","12,280","10,900","11,040","424,555,050","1,158.11","119,642","-37,138","-83,908",0.00,,0
Nov-05,"11,200","12,640","11,180","11,960","455,444,350","1,297.44","-1,096,840","555,905","543,598",0.00,,0
Dec-05,"11,920","13,400","11,860","13,180","458,326,950","1,379.37","-908,956","-62,550","975,443",0.00,,0
Jan-06,"13,280","14,820","13,120","14,800","497,544,250","1,399.83","-898,337","889,736","19,343",0.00,,0
Feb-06,"14,700","14,860","12,920","13,740","415,433,600","1,371.59","346,002","-502,556","153,442",0.00,,0
Mar-06,"13,920","14,000","12,080","12,600","506,599,750","1,359.60","770,009","-1,020,104","244,972",0.00,,0
Apr-06,"12,720","13,940","12,500","12,880","446,433,750","1,419.73","-205,467","-211,541","416,659",0.00,,0
May-06,"12,880","13,360","12,220","12,240","447,815,150","1,317.70","25,917","-1,237,911","1,212,573",0.00,,0
Jun-06,"12,140","12,380","10,820","12,060","508,765,050","1,295.15","163,403","-1,774,862","1,612,676",0.00,,0
