일자,시가,고가,저가,종가,거래량,종합주가지수,투자자-개인(수량),투자자-외국인(수량),투자자-기관(수량),외국인보유비중,공매도수량,체결강도
1980-01-05,81,82,76,80,"1,095,595",100.15,0,0,0,0.00,,0
1980-01-12,83,98,83,89,"15,220,439",103.64,0,0,0,0.00,,0
1980-01-19,91,92,81,89,"9,628,724",101.15,0,0,0,0.00,,0
1980-01-26,89,92,87,90,"7,406,229",102.83,0,0,0,0.00,,0
1980-02-02,91,95,88,92,"8,079,239",105.30,0,0,0,0.00,,0
1980-02-09,93,94,90,90,"6,084,209",103.97,0,0,0,0.00,,0
1980-02-16,90,97,90,97,"4,557,678",106.08,0,0,0,0.00,,0
1980-02-23,97,100,95,98,"7,860,119",104.69,0,0,0,0.00,,0
1980-02-29,98,99,93,95,"7,148,503",103.74,0,0,0,0.00,,0
1980-03-08,87,88,81,86,"4,569,156",103.89,0,0,0,0.00,,0
1980-03-15,87,92,84,92,"6,659,137",104.16,0,0,0,0.00,,0
1980-03-22,91,102,90,101,"14,592,297",104.58,0,0,0,0.00,,0
1980-03-29,104,114,103,106,"28,967,565",104.90,0,0,0,0.00,,0
1980-04-04,107,119,103,118,"19,347,187",107.40,0,0,0,0.00,,0
1980-04-12,116,126,114,116,"37,351,487",111.68,0,0,0,0.00,,0
1980-04-19,118,136,114,136,"28,842,355",114.68,0,0,0,0.00,,0
1980-04-26,133,136,121,123,"30,542,094",118.21,0,0,0,0.00,,0
1980-05-03,122,122,115,116,"15,627,375",118.33,0,0,0,0.00,,0
1980-05-10,116,118,104,105,"11,487,065",116.43,0,0,0,0.00,,0
1980-05-17,106,109,92,105,"15,817,279",115.03,0,0,0,0.00,,0
1980-05-24,98,104,92,103,"12,570,140",113.84,0,0,0,0.00,,0
1980-05-31,98,115,97,113,"13,568,698",116.43,0,0,0,0.00,,0
1980-06-07,115,115,99,102,"8,442,349",113.43,0,0,0,0.00,,0
1980-06-14,103,105,97,101,"7,117,200",112.87,0,0,0,0.00,,0
1980-06-21,102,110,99,102,"7,708,822",112.77,0,0,0,0.00,,0
1980-06-28,101,105,97,104,"6,491,145",113.12,0,0,0,0.00,,0
1980-07-05,104,104,97,97,"4,424,120",111.92,0,0,0,0.00,,0
1980-07-12,97,98,90,92,"8,595,733",111.01,0,0,0,0.00,,0
1980-07-19,92,92,83,88,"8,542,520",110.88,0,0,0,0.00,,0
1980-07-26,88,90,85,88,"4,274,910",111.32,0,0,0,0.00,,0
1980-08-02,89,94,87,91,"7,984,285",112.15,0,0,0,0.00,,0
1980-08-09,89,90,86,87,"3,774,067",111.66,0,0,0,0.00,,0
1980-08-16,86,86,75,79,"5,327,726",107.20,0,0,0,0.00,,0
1980-08-23,80,89,80,83,"10,375,816",111.90,0,0,0,0.00,,0
1980-08-30,84,87,79,83,"6,533,925",112.65,0,0,0,0.00,,0
1980-09-06,82,85,78,80,"5,337,117",113.72,0,0,0,0.00,,0
1980-09-13,80,80,75,80,"8,389,136",112.12,0,0,0,0.00,,0
1980-09-20,79,85,75,82,"11,814,700",110.64,0,0,0,0.00,,0
1980-09-27,82,90,81,89,"21,785,672",111.47,0,0,0,0.00,,0
1980-10-04,89,90,81,83,"7,932,116",108.95,0,0,0,0.00,,0
1980-10-11,82,85,79,84,"7,613,871",109.34,0,0,0,0.00,,0
1980-10-18,86,87,79,80,"7,696,301",110.26,0,0,0,0.00,,0
1980-10-25,79,80,76,78,"5,328,769",108.89,0,0,0,0.00,,0
1980-11-01,76,76,71,74,"10,215,129",105.48,0,0,0,0.00,,0
1980-11-08,76,79,69,79,"12,299,892",107.15,0,0,0,0.00,,0
1980-11-15,80,86,73,78,"27,018,449",104.60,0,0,0,0.00,,0
1980-11-22,78,80,75,78,"9,457,603",105.17,0,0,0,0.00,,0
1980-11-29,78,85,77,83,"25,547,219",106.93,0,0,0,0.00,,0
1980-12-06,83,84,78,80,"8,304,618",106.60,0,0,0,0.00,,0
1980-12-13,80,80,72,73,"13,249,408",105.31,0,0,0,0.00,,0
1980-12-20,73,74,69,73,"12,656,744",106.11,0,0,0,0.00,,0
1980-12-24,73,73,69,70,"5,125,303",106.87,0,0,0,0.00,,0
1981-01-10,72,76,71,76,"7,920,638",97.60,0,0,0,0.00,,0
1981-01-17,77,88,75,79,"26,985,058",106.70,0,0,0,0.00,,0
1981-01-24,80,81,74,76,"13,301,582",106.80,0,0,0,0.00,,0
1981-01-31,76,78,72,76,"10,708,670",105.70,0,0,0,0.00,,0
1981-02-07,76,78,73,76,"9,804,019",106.00,0,0,0,0.00,,0
1981-02-14,77,77,72,73,"5,246,339",104.70,0,0,0,0.00,,0
1981-02-21,73,73,68,69,"10,232,867",103.80,0,0,0,0.00,,0
1981-02-28,69,69,65,67,"9,296,915",104.10,0,0,0,0.00,,0
1981-03-07,67,67,61,62,"10,006,445",103.10,0,0,0,0.00,,0
1981-03-14,62,67,62,67,"6,202,116",104.70,0,0,0,0.00,,0
1981-03-21,68,70,64,66,"11,065,520",106.00,0,0,0,0.00,,0
1981-03-28,66,67,62,66,"10,872,487",106.60,0,0,0,0.00,,0
1981-04-04,67,67,63,67,"12,417,799",110.50,0,0,0,0.00,,0
1981-04-11,67,71,65,70,"14,173,884",111.80,0,0,0,0.00,,0
1981-04-18,71,71,66,69,"8,174,190",111.80,0,0,0,0.00,,0
1981-04-25,69,70,67,69,"9,370,999",113.50,0,0,0,0.00,,0
1981-05-02,69,79,69,73,"28,670,190",123.50,0,0,0,0.00,,0
1981-05-09,73,74,69,71,"6,889,733",118.80,0,0,0,0.00,,0
1981-05-16,70,73,70,71,"5,351,725",121.50,0,0,0,0.00,,0
1981-05-23,71,75,71,72,"9,857,235",120.50,0,0,0,0.00,,0
1981-05-30,72,84,72,80,"30,521,227",126.30,0,0,0,0.00,,0
1981-06-05,81,90,80,89,"37,490,263",128.30,0,0,0,0.00,,0
1981-06-13,91,96,88,93,"42,024,989",137.60,0,0,0,0.00,,0
1981-06-20,93,97,86,92,"23,517,757",139.80,0,0,0,0.00,,0
1981-06-27,92,92,89,91,"16,268,039",144.50,0,0,0,0.00,,0
1981-07-04,92,103,89,98,"34,044,873",157.80,0,0,0,0.00,,0
1981-07-11,98,115,94,103,"32,662,335",160.30,0,0,0,0.00,,0
1981-07-18,107,108,95,99,"17,459,630",158.69,0,0,0,0.00,,0
1981-07-25,99,100,92,95,"10,040,876",149.40,0,0,0,0.00,,0
1981-08-01,95,95,89,92,"8,394,352",148.30,0,0,0,0.00,,0
1981-08-08,92,104,92,102,"15,724,414",151.19,0,0,0,0.00,,0
1981-08-14,102,102,94,96,"10,384,165",142.40,0,0,0,0.00,,0
1981-08-22,103,103,96,97,"8,969,280",144.10,0,0,0,0.00,,0
1981-08-29,97,98,92,94,"6,370,107",141.50,0,0,0,0.00,,0
1981-09-05,93,101,92,100,"6,452,539",144.50,0,0,0,0.00,,0
1981-09-11,103,106,101,104,"19,850,118",145.60,0,0,0,0.00,,0
1981-09-19,105,106,99,100,"7,620,130",143.40,0,0,0,0.00,,0
1981-09-26,100,100,94,94,"5,414,331",138.90,0,0,0,0.00,,0
1981-10-02,95,95,90,95,"5,767,009",136.30,0,0,0,0.00,,0
1981-10-10,99,103,91,93,"6,324,197",138.69,0,0,0,0.00,,0
1981-10-17,93,94,86,86,"3,564,338",131.80,0,0,0,0.00,,0
1981-10-24,86,87,81,82,"5,944,390",129.10,0,0,0,0.00,,0
1981-10-31,82,83,74,77,"7,774,557",123.00,0,0,0,0.00,,0
1981-11-07,78,86,72,73,"4,191,436",124.60,0,0,0,0.00,,0
1981-11-14,74,74,68,71,"4,361,515",124.80,0,0,0,0.00,,0
1981-11-21,71,82,70,79,"6,299,154",133.80,0,0,0,0.00,,0
1981-11-28,77,85,75,76,"6,544,360",132.19,0,0,0,0.00,,0
1981-12-05,78,78,73,73,"2,304,923",130.10,0,0,0,0.00,,0
1981-12-12,73,74,72,73,"2,650,297",129.19,0,0,0,0.00,,0
1981-12-19,73,79,73,78,"6,397,236",128.60,0,0,0,0.00,,0
1981-12-24,78,83,78,81,"7,979,070",131.30,0,0,0,0.00,,0
1982-01-09,83,94,80,93,"11,950,344",129.22,0,0,0,0.00,,0
1982-01-16,95,96,90,92,"20,884,153",125.84,0,0,0,0.00,,0
1982-01-23,92,93,90,91,"7,560,655",125.96,0,0,0,0.00,,0
1982-01-30,92,93,91,92,"4,319,777",125.65,0,0,0,0.00,,0
1982-02-06,94,99,91,97,"13,413,227",124.09,0,0,0,0.00,,0
1982-02-13,99,102,97,100,"22,492,069",126.45,0,0,0,0.00,,0
1982-02-20,102,110,100,108,"31,211,974",125.87,0,0,0,0.00,,0
1982-02-27,108,111,100,110,"22,361,641",128.78,0,0,0,0.00,,0
1982-03-06,111,117,108,115,"37,577,911",134.47,0,0,0,0.00,,0
1982-03-13,113,118,108,108,"20,396,872",129.72,0,0,0,0.00,,0
1982-03-20,109,109,99,102,"19,181,282",125.58,0,0,0,0.00,,0
1982-03-27,101,105,101,102,"11,726,008",128.55,0,0,0,0.00,,0
1982-04-03,104,107,97,103,"13,270,278",126.73,0,0,0,0.00,,0
1982-04-10,102,102,92,92,"8,424,612",124.26,0,0,0,0.00,,0
1982-04-17,92,94,85,86,"12,385,453",121.65,0,0,0,0.00,,0
1982-04-24,83,91,81,90,"17,406,414",122.35,0,0,0,0.00,,0
1982-04-30,90,90,84,87,"7,044,161",121.40,0,0,0,0.00,,0
1982-05-08,86,86,78,82,"12,538,837",116.41,0,0,0,0.00,,0
1982-05-15,83,83,72,78,"18,685,654",107.94,0,0,0,0.00,,0
1982-05-22,83,89,80,85,"26,180,578",117.39,0,0,0,0.00,,0
1982-05-29,84,84,80,82,"9,420,040",114.73,0,0,0,0.00,,0
